rowid,Botanical_name,Common_name,Plant_type,Height,Width,Flower colour,Flowering Time,Pollinator,Information,Uses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,December,Climate,Rainfall,Aspect,Soil
1,Abelia grandiflora,Glossy abelia,Shrub,2.5m,2.5m,Mauve  Pink  White,Summer,Honeybees  Native bees  butterflies,Abelia grandiflora is a deciduous or semi evergreen multistemmed shrub with rounded spreading  or gracefully arching branches to 1.0-1.8 m tall.The leaves are ovate  glossy dark green  and 2–6 cm long. The flowers are produced in clusters  white  tinged pink  bell-shaped  to 2 cm long. Unlike most flowering shrubs in cultivation  the species blooms from late summer to well into the autumn.,A useful border foundation or hedge plant. Widely used in streetscapes and park plantings.,yes,yes,yes,No,No,No,No,No,No,No,No,yes,Cool  temperate  warm/humid  frost hardy,Moderately drought hardy,Full sun  partial shade,Deep well-drained loam
2,Acacia baileyana,Cootamundra wattle,Tree,7m,5m,Yellow,Winter,Bees  Seed eating birds,"Acacia baileyana is a small evergreen tree with domed canopy  it is fast growing but short lived (8 - 15 years). Fast growth rate. A widely planted, hardy attractive acacia. The bark on the trunk and branches is smooth, grey to brown. The silver grey bipinnate leaves to 3 x 1 cm are characteristic. Flowers are in bright-yellow globular heads, in elongated showy racemes. Propagate from seed.",Widely planted as a striking ornamental in gardens  streetscapes and parks. It can be trimmed as a hedge and tolerates mild coastal exposure. It provides a nitrogenfixing low shelter component in windbreaks. ,No,No,No,No,No,yes,yes,yes,yes,yes,No,No,Cool  temperate  frost hardy,450 mm  drought tolerant,Full sun to part shade,Well-drained to heavy wet soils
3,Acacia doratoxylon,Currawang,Tree,10m,8m,White,Spring,Bees,"A moderately fast growing attractive acacia. The bark is corrugated, dark greyish– brown to black on the trunk. The leaf-like phyllodes are dark green, thick, semiglossy, linear, flat and mostly straight or slightly curved to 7–20 cm x 8–10 mm with a curved tip. The bright yellow flowers are arranged in crowded cylindrical spikes. Propagate by scarified seed.",A good garden and park tree and maintenance-free street tree. Good for farm shelter and shade. May be used as a specialty timber  with a medium to dark brown wood similar to that of the sought-after A. melanoxylon (Tasmanian blackwood)  used in turnery and as a cabinet timber.,No,No,No,No,No,No,No,No,yes,No,No,No,Temperate  hot/arid  frost hardy,250 mm  drought tolerant,Full sun,Light sandy loams to heavy clays  pH <6.5-7.5
4,Alyogyne huegelii,Native hibiscus,Shrub,2.5m,3m,White  Yellow  Mauve  Purple,Spring  Autumn,Bees  Butterflies  Other insects,A hardy and easy care small shrub growing to around a metre and a half high and wide  it has mauve-purple large flowers from spring through to autumn. It is dense growing and suitable for low hedging and screening as well as containers. It responds well to a frequent light prune  which should be done after flowering  and it can be shaped to size. Frost hardy  it does well in cool temperate to sub-tropical climates  in well drained soils and sun to part shade.,A very attractive ‘hibiscus’-looking flower that provides bold  bright colour as a specimen garden plant.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Cool  temperate  warm/humid  hot/arid. Prefers hot dry summers  cool wet winters,200 mm  very drought tolerant,Sunny and protected from wind,Well-drained various. Intolerant of waterlogging
5,Angophora costata,Smooth-barked Apple,Tree,20m,12m,White,Spring  Summer,Bees,Handsome  erect fast growing  tree with slightly pitted smooth pink new bark. Better suited to larger gardens and parks. Will grow in most well drained soils. Has been known to lose branches in high winds,Angophora costata is widely planted as a street tree and an ornamental feature in public gardens and urban open spaces. It would make a good pollen support in bee forage planting. Timber is light pinkish–brown  moderately coarse-textured with numerous gum veins. Very hard but not durable  it is used for fencing and firewood (ADD 990 kg/m3 ,yes,No,No,No,No,No,No,No,No,yes,yes,yes,Temperate  warm/humid hot/arid  mildly frost hardy,600 mm  drought tolerant,Full sun,Well-drained soils from skeletal sandy loam on sandstone to heavy clay
6,Banksia integrifolia,Coast banksia,Tree,10m,4m,White,Autumn/Winter,Bees  Birds,Banksia integrifolia  commonly known as coast banksia  is a species of tree that grows along the east coast of Australia. One of the most widely distributed Banksia species  it occurs between Victoria and Central Queensland in a broad range of habitats  from coastal dunes to mountains.,This very versatile tree is a suitable street and specimen tree in larger gardens and parks. It is a good windbreak tree; its timber is non-durable and has an ADD of 560 kg/m3. The wood  which is difficult to dry due to shrinkage is an attractive reddish–brown with a prominent medullary ray; it is suited to cabinet work and turning,No,No,No,No,yes,yes,yes,yes,yes,No,No,No,Cool  temperate  warm/humid (southern),850 mm,Full sun,Well-drained  various  from sand to clay pH <7.5
7,Banksia serrata,Saw-tooth banksia,Shrub,10m,3m,Yellow,Winter/Spring/Summer,Bees  Birds,Banksia serrata  commonly known as old man banksia  saw banksia  saw-tooth banksia and red honeysuckle  is a species of woody shrub or tree of the genus Banksia in the family Proteaceae,Banksia serrata is a great frontline coastal species  very resistant to wind and salt spray. It makes a useful addition to shelterbelts and as a specimen tree in larger domestic gardens and public parks. It is used for cut flowers and in floral art. It has dense wood for a banksia  at 720 kg/m3  reddish to purple with a prominent medullary ray.,yes,yes,yes,yes,No,No,No,No,No,No,No,yes,Cool  temperate,650 mm  drought tolerant,Full sun,Well-drained poor sandy soil
8,Banksia spinulosa,Hairpin banksia,Shrub,2m,2m,Yellow  Pink  maroon or black,Fall-Winter-Spring,Honey bees  native birds  native bees,The hairpin banksia is a species of woody shrub  of the genus Banksia in the family Proteaceae  native to eastern Australia. Widely distributed  it is found as an understorey plant in open dry forest or heathland from Victoria to northern Queensland  generally on sandstone though sometimes also clay soils,This highly adaptable species can be grown in a broad range of conditions  from coastal exposure to inner city smog. It is a very useful garden addition and a good farm windbreak component. Flower spike is used in floral art.,No,No,No,yes,yes,yes,yes,yes,No,No,No,No,Cool  temperate  warm/humid,500 mm  drought tolerant,Full sun to part shade,Well-drained  light to moderately heavy soils. Acid to neutral pH  but will tolerate slightly alkaline
9,Borago officinalis,Borage,Herb,0.8m,0.3m,Blue,Spring  Summer,Honey bees and bumble bees,Borago officinalis also known as a starflower  is an annual herb in the flowering plant family Boraginaceae. It is native to the Mediterranean region and has naturalized in many other locales.It grows satisfactorily in gardens in the UK climate  remaining in the garden from year to year by self-seeding. The leaves are edible and the plant is grown in gardens for that purpose in some parts of Europe.,A delicate herb with a faint cucumber-like flavour. Flowers are also edible and sometimes crystallised for cake decoration.,yes,yes,No,No,No,No,No,No,No,yes,yes,yes,Cool  temperate  hot arid,Fairly drought tolerant,Full sun to partial shade,Well-drained loam  neutral pH
10,Callistemon salignus,Red Willow Bottlebrush,Shrub,10m,3m,Red,Spring,Bees  Birds,Melaleuca salicina  commonly known as white bottlebrush or willow bottlebrush  is a plant in the myrtle family  Myrtaceae and is endemic to eastern Australia. It is a shrub or small tree with soft foliage  pink new growth  white papery bark and spikes of usually white or creamy bottlebrush flowers in spring,A good street tree. Its attractive pendulous habit and other features make it a worthy addition to a larger garden or park. Useful for wetter sites in farm shelter and rehabilitation.,No,No,No,No,No,No,No,No,yes,yes,No,No,Cool  temperate  warm/humid  hot arid,500 mm  moderately drought tolerant once established,Full sun,Well-drained  moist  sandy to heavy clays  tolerates waterlogging and brackish sites
11,Callistemon subulatus,Dwarf bottlebrush,Herb,1.5m,2m,Red,Spring  Summer  Winter,Bees  Nectar eating birds  Butterflies  Other insects,A lovely small sized Callistemon  useful for low hedges and screens  for attracting birds  as well as container growing. It has arching branches with small leaves  on a dense habit. While it is naturally compact  pruning after flowering will encourage an even more neat plant. It produces numerous red flowers from late winter through summer which are loved by nectar feeding wildlife. ,A very hardy shrub that can be used as a hedge or a screen in any urban setting.,yes,No,No,No,No,No,No,No,No,yes,yes,yes,Temperate  frost hardy,Drought tolerant once established,Full sun,Well-drained various  light sandy to heavier clay. Will tolerate some waterlogging
12,Callistemon viminalis,Weeping Bottlebrush,Shrub,12m,5m,Red,Spring  Autumn  Summer,Bees,This species of Callistemon has been widely planted both for its reliability and ornamental weeping habit. Displays masses of red flowers in spring. Its used in a variety of locations including parks  home gardens and streetscapes. Does well in heavier soils and is drought resistant once established. They will tolerate some shade but flower best in full sun.,An outstanding feature plant wherever it is planted. A useful garden addition  taller forms making excellent street trees. A handy hedging and screening species. It is used for cut flowers and makes a great bird and insect attraction to shelterbelts,yes,yes,No,No,No,No,No,No,No,yes,yes,yes,Temperate  warm/humid hot/arid. Light frost only.,300 mm  drought tolerant,Full sun,A wide tolerance
13,Carpobrotus glaucescens,Bluish Pigface,Herb,0.2m,1m,Purple,Spring-Autumn,Bees,Carpobrotus glaucescens is an evergreen soft wooded perennial native to coastal regions of Eastern Australia. It has succulent stems and fleshy three angled leaves. It has a spreading and prostrate habit. Requires little to no maintenance,This very salt-tolerant frontline sand dune species is widely used as a groundcover in landscaping  useful in home gardens and as a streetscape groundcover. It can be used on farm in coastal areas to bind sands and to add to biodiversity as a ground component. It has had a traditional food use  the succulent leaves when peeled tasting like salty apples  kiwi and even strawberry; they are also cooked and eaten. The juice of the leaves is said to be a mild topical anaesthetic. The flesh of the juicy fruit has a sweet fig-like flavour.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Cool  temperate  warm/humid  hot/arid  frost tender.,Drought tolerant,Full sun to partial shade,Well-drained
14,Corymbia eximia,Yellow bloodwood,Tree,8m,7m,White  Cream  Yellow,Spring  Winter,Birds  Insects,"Medium growth rate. This narrow domed tree has brown to yellow–brown bark  that is tessellated, flaky and persistent on the small branches.  The adult leaves are dull bluish–green. They are thick, leathery, lanceolate and sickle-shaped to 12–20 x 1.3–3.0 cm.  The creamy-white flowers are in a terminal inflorescence. Propagation is from seed",Yellow bloodwood is often used as a street tree  but it is susceptible to frost. The leaves turn yellowish in winter but return quickly to green in the spring warmth.  It is an excellent specimen tree in gardens or open space and is useful for windbreaks and as a good bird attracter. ,No,No,No,No,No,No,No,yes,yes,yes,No,No,Cool  temperate  frost tender when young,Very drought tolerant,Full sun,Various  but succeeds in poor shallow and sandy soils. Tolerates waterlogging
15,Corymbia ficifolia,Red flowering gum,Tree,9m,3m,Orange  Red,Summer,Bees  Nectar eating birds  Butterflies  Other insects  Mammals,Corymbia ficifolia is a spectacular tree with a spreading crown and terminal clusters of bright red to orange flowers during summer. The flowers do not have any petals  it is the many coloured stamen that give the flowers their fluffy appearance. Large urn shaped capsules follow the flowers  these make an attractive addition to a flower arrangement.,Widely planted as a street tree  C. ficifolia is very showy  with long-flowering often bright red flowers; it is hardy and adaptable to most soil conditions. It does not tolerate prolonged summer humidity and is very frost tender as a seedling. Once established  it is frost hardy and tolerates moderate coastal exposure.,No,yes,yes,yes,yes,No,No,No,yes,No,No,yes,Cool  temperate  hot/arid (seedlings very frost tender),500 mm  drought tolerant,Full sun,Well-drained sandy to heavy clay
16,Corymbia maculata,Spotted gum,Tree,12m,5m,White,Spring  Winter,Bees  Nectar eating birds  Butterflies  Other insects,Ribbons of Hope' is a great new landscaping gum tree with gorgeously variegated foliage- older leaves are green with a broad cream edge  and the new growth is blush pink. A head turning plant  and very hardy for most situations. Good for a broad range of soils  and is cold  heat and drought hardy. It has masses of white flowers in winter and spring  which attract nectar loving birds. It grows to around 12 metres tall  and 5 metres wide. Good for sun to part shade.,C. maculata is a popular and attractive street tree and park specimen  it is adaptable to many sites and soil conditions  including highly compacted urban street soils. It has great potential as a farm forestry species in the 500–800 mm zone and is an excellent tall windbreak component. ,yes,yes,yes,yes,yes,yes,yes,yes,No,No,No,No,Temperate  slightly frost tender when young,450 mm,Full sun,Well-drained clay loam to heavy clay pH 6.5-7.5
17,Eremophila deserti,Ellangowan,Shrub,5m,3m,White,Jul-Dec,Bees,This large shrub has a rounded dense habit and grows to 5m tall. It is a native to the arid and semi-arid areas of mainland Australia. During winter and spring the plant is covered with lots of small flowers.,This hardy shrub flowers profusely and provides an excellent display of small white flowers. It should not be planted on stock routes or in laneways where stock are likely to move,No,No,No,yes,yes,yes,yes,yes,yes,yes,yes,No,Temperate  hot/arid  frost hardy,150 mm  extremely drought tolerant,Full sun  shade intolerant,Well-drained sandy to heavy clay.Tolerates alkaline soils  pH 6-8
18,Eucalyptus cladocalyx,Sugar gum,Tree,25m,15m,Cream  Yellow,Summer,Birds  Bees,Fast growing eucalyptus often used as a plantation tree. Grows tall with lower branches shedding to reveal a long clean trunk. Excellent as a high windbreak but needs under planting due to exposed trunks. Flowers attract bees for honey. The smaller E. cladocalyx var. nana Dwarf Sugar Gum grows to a height from 6-12m and is a better choice for smaller spaces.,Variety ‘Nana’ is the shorter growing provenance  very suited to amenity planting and as a maintenance-free street tree.,yes,yes,yes,yes,No,No,No,No,No,No,No,yes,Temperate  hot/arid  seedlings frost sensitive,350 mm  drought tolerant,Full sun,Sands and gravel to clay loams  pH >4 to <10. Salinity low to moderate  200-800 mS/m
19,Eucalyptus diversifolia,Stoney mallee,Shrub,10m,8m,Cream  White,Spring,Bees,"A Mallee with variable habit depending where it is grown. Generally a tall Mallee however can be found as low as 50cm on exposed coastal cliffs. The mallee typically grows to a height of 0.5 to 8 metres (2 to 26 ft) and has smooth bark. The tree blooms between July and September or December to January and produces white to cream-yellow flowers.[3] The concolorous, glossy, olive-green or bluish-green adult leaves have an alternate arrangement.",Used for low shelter and as a street tree and park specimen. It coppices readily and provides useful firewood. A profusely flowering species  it is used for cut flowers. It is salt and wind tolerant  providing frontline coastal shelter.,No,No,No,No,No,No,yes,yes,yes,yes,yes,yes,Temperate  hot/arid  frost tolerant,400 mm  drought tolerant,Full sun,Sand to heavy clay  tolerates alkaline soils
20,Eucalyptus erythrocorys,Red cap gum,Tree,8m,5m,Yellow  Red  Pink,Autumn  Spring,Bees,Coastal malllee from Western Australia. Naturally grow on limestone ridges. This very attractive small tree has bright red caps on the fruit that open out to thick sprays of yellow stamens in winter and autumn.,This is mainly used as a showy specimen tree in gardens and parks. It is being used in Israel for desert rehabilitation and the provision of extensive bee forage (Eisikovitch 2011  pers. comm.).,No,No,yes,yes,yes,yes,No,No,No,No,No,No,Temperate  hot/arid  frost hardy,500 mm  drought tolerant,Full sun,Light sand to heavy clay. Tolerates alkaline and salt conditions
21,Eucalyptus incrassata,Yellow mallee,Shrub,8m,7m,Cream  White  Yellow,Spring  Summer,Bees,Eucalyptus incrassata  commonly known as the lerp mallee  yellow mallee  ridge fruited mallee or rib fruited mallee  is a mallee that is native to southern Australia.,It is a useful low component in shelterbelts and is used as a park and street tree  being smog tolerant. It is also a useful small garden specimen. It is salt-tolerant and hardy for revegetation in salt-affected and sandy soils. It coppices well and produces good firewood.,yes,No,No,yes,yes,yes,yes,yes,yes,yes,yes,yes,Hot/arid  frost tolerant,250 mm  very drought tolerant,Full sun,Well-drained sandy
22,Eucalyptus lansdowneana,Crimson mallee,Shrub,6m,6m,Red,Winter  Spring,Bees  birds  bats,Eucalyptus lansdowneana  commonly known as the Crimson mallee or the Red-Flowered mallee box  is a slender stemmed  straggly mallee with smooth grey over creamy-white bark. Adult leaves are stalked  lanceolate to broad lanceolate  to 15 x 3 cm  glossy  green to yellow-green,This very attractive small mallee eucalypt is ideally suited to mass planting as low windbreaks or native hedging. It provides a compact garden specimen and is suited to limited spaces in the streetscape. It is good firewood and is used for fencing.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Hot/arid  moderately frost hardy,300 mm  drought tolerant,Full sun,Well-drained sands to heavier clay soils. Tolerates alkaline soils
23,Eucalyptus leucoxylon,Large-fruited yellow gum,Tree,15m,7m,Blue  Pink,Mar - Dec,Bees,This native tree has a medium to fast growth rate with a broad habit. It has rough bark at the base of the trunk and smooth  cream streaked with grey bark on the upper limbs which sheds. Narrow green leaves offset the beautiful  showy cream  bird attracting flowers from late Autumn to Spring.,A widely planted  very hardy  adaptable tree suited to many uses  including as a garden and park specimen and street trees. It withstands drought  frost and smog and tolerates compacted soils. It could also be used on farm as an attractive lower component of shelterbelts,No,No,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Cool  temperate  hot/arid  frost hardy.,400 mm  drought tolerant once established,Full sun,Well-drained various from sandy to heavy clay  very adaptable  pH 5.0 - 8.5
24,Eucalyptus microcarpa,Grey box,Tree,25m,15m,White,Summer  Winter,Bees  birds,Eucalyptus microcarpa  or grey box  is a species of Eucalyptus which is endemic to Australia. Alternative common names for this species include gum-topped box  inland grey box  narrow-leaved box  and western grey box.,A useful farm forestry species as a component in shelterbelts and for shade. On farm it has been used for durable posts and firewood. Its wood is very dense (ADD 1120 kg/m3) and extremely durable (Class 1)  one of the hardest woods. The pale brown wood with interlocked grain is difficult to work but has been used in heavy construction  wharves and shipbuilding and now in flooring. ,yes,yes,yes,yes,No,No,No,No,No,No,No,No,Temperate  hot/arid  warm/humid,450 mm,Full sun,Light soils with clay subsoil to heavier soils
25,Eucalyptus occidentalis,Flat-topped yate,Tree,20m,16m,Yellow,Autumn  Winter,Bees  Birds,"Fast to moderate growth rate. A multi-stemmed mallee form to a small tree with a single stem. It has a spreading, open crown with a characteristic flat top. The bark is black to dark grey, rough and flaky for about half the trunk and then smooth whitish–grey, a strong contrast. The adult leaves are glossy green, narrow lanceolate to 16 x 2.5 cm. It coppices vigorously and responds well to pruning.","In its mallee form E. occidentalis is a useful garden addition and can be used in many different environments. It is used as a street tree and in parks. It is also grown overseas as a farm forestry tree in windbreaks and for fuelwood, shelter, building poles and posts, sawn building material, pulpwood and charcoal",No,No,No,yes,yes,yes,yes,No,No,No,No,No,Temperate  hot/arid  moderately frost hardy,300 mm  very drought tolerant,Full sun,Well-drained to waterlogged. Wide tolerance  sand to heavy clay  pH 6.5-7.5. Some show extremely high salinity tolerance: >16dS/m
26,Eucalyptus oleosa,Red mallee,Tree,12m,10m,Yellow  Green,Summer  Winter,Bees,This species is classified schedule 2  Regulation 24.3 under the Sewerage Act and may be planted in any street or road in any drainage area provided they are not planted closer than 3.5 metres to any sewer main or connection. They should also not be planted closer than 3.5 metres to any sewer pipe in home gardens.,An attractive garden specimen with its red upper bark and profuse cream to yellow flowers  red mallee provides a good low shelter component in windbreaks. It has a high leaf oil content and may be planted extensively for oil  biofuel and carbon credits. Used traditionally as a durable round post and a high-value firewood  the wood is reddish–brown and very hard. E oleosa is being used as a commercial planting to rehabilitate salt-affected farmland in Western Australia.,yes,yes,yes,yes,yes,yes,No,No,No,No,No,No,Temperate  hot arid  frost tolerant,250 mm  drought tolerant,Full sun,Sandy to clay. Tolerates saline and alkaline conditions
27,Eucalyptus pauciflora,Snow gum,Tree,20m,5m,White,Spring  Summer,Bees  Nectar eating birds  Butterflies,A small to medium sized tree  with a spreading habit and beautiful twisted branches with pale green to cream smooth bark with strips of brown when the bark sheds  shiny leaves. It is slow growing but is long lived  and makes a nice specimen tree  for windbreaks and shelter tree for farms. White flowers in spring and summer. A good honey source and the foliage is used for essential oil production  it has a lovely fresh scent. Generally grows to around 4 to 8 metres tall  but can be taller in its natural range. Very cold tolerant  down to -23º C.,Snow gums are a very attractive  hardy tree with a weeping habit  useful in higher altitudes or exposed streetscapes.They provide great shelter for animals and livestock in higher alpine regions where other species struggle to survive. Can be used for a windbreak  shade  fence posts  fuel wood  bee forage  and in parks. The wood is best used for fuel since the timber value is negligible.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Cold  temperate  very frost hardy,550 mm  very drought tolerant,Full sun  very exposed,Well-drained  various  tolerates imperfect drainage
28,Eucalyptus porosa,Mallee box,Tree,14m,12m,White  Cream,Summer  Winter,Bees  birds,"Moderate growth rate. An often twisted–trunk mallee shrub to small tree. It has a brown, rough, fibrous box-like bark on the trunk and larger branches. It can have smooth green, yellow– brown bark on the upper trunk and branches. The leaves have a characteristically fresh green look, with coarse venation, narrow to broad lanceolate to 12 x 2.5 cm. Buds are club-shaped to 5–7 mm; fruit pear-shaped, 4–6 mm long. The flowers are whitish, and flowering is from September to January",Mallee box is an attractive tree in cultivation  extremely hardy and suitable for broad-scale roadside planting. The wood is light brown  heavy and moderately durable—a good fuel wood.,yes,No,No,No,No,No,No,No,yes,yes,yes,yes,Hot/arid  frost hardy,250 mm  very drought tolerant,Full sun,Well-drained various. Tolerates shallow alkaline and saline soils
29,Eucalyptus torquata,Coral gum,Tree,12m,10m,Pink  White,Spring  Summer,Native birds,Eucalyptus torquata  commonly known as coral gum or Coolgardie gum  is an endemic tree of Western Australia. The species is cultivated for use in gardens and as a street tree,This is a very attractive small tree for planting in a wide variety of climates as a specimen. It is also widely used as a street tree and in parks and other public open spaces. It is particularly suited to the hot/arid zone.,No,No,No,No,No,No,No,yes,yes,No,No,No,Temperate  hot/arid  grows in dry summers,300 mm  drought tolerant,Full sun to partial shade,Well-drained sand to heavy clay  pH 6.0-8.5
30,Eucalyptus tricarpa,Red ironbark,Tree,20m,15m,Pink,Summer  Winter  Autumn,Birds  bees,Eucalyptus tricarpa  red ironbark  is a species of Eucalyptus which is endemic to Victoria and the South Coast of New South Wales in Australia. It is a tall  straight-trunked tree that usually grows to between 25 and 35 metres in height,Red ironbark is perhaps an iconic tree  with its intensely dark  fissured trunk and contrasting foliage making it very appealing. Its wood is very dense  with an ADD of 1130 kg/m3   and  while hard to work  is popular for highend furniture. It has very high in-ground durability (Class1)  such that posts removed after 35 years have been re-used. It is also a preferred slow-burning firewood.,yes,yes,No,No,No,yes,yes,yes,yes,yes,yes,yes,Cool  temperate  hot/arid mildly frost hardy,350 mm  very drought tolerant,Full sun,Well-drained sandy to heavy clay  pH 6.5-7.5  salt and water logging intolerant
31,Eucalyptus utilis,Moort,Tree,8m,8m,Yellow,Spring  Summer,Birds,Fast growing Eucalyptus with a dense rounded form. Can be used in smaller gardens or in streetscapes and parks. Useful as a shade or windbreak tree. Can handle alkaline soils  as well as exposed coastal locations. ,E. utilis is often used on farms for shelterbelts as it is fast-growing and dense with foliage to the ground  providing excellent low shelter. Useful in establishing bee forage because it flowers from a young age.,yes,No,No,No,No,yes,yes,yes,yes,yes,yes,yes,Temperate  hot arid,400 mm  drought tolerant,Full sun  part shade,Tolerates some waterlogging
32,Eucalyptus viridis,Green mallee,Shrub,6m,5m,White,Summer,Eating birds,This plant can either be a shrub or small tree with either one or many trunks.  The leaves are narrow and usually dark  intense  lustreless green.  Grows in areas of low rainfall and high Summer temperatures and few Winter frosts.  Creamy-white flowers appear in varying times in Australia from Spring to Summer and return in June,As a mallee species  it provides low shelter. It is an adaptable and hardy park and street tree and an attractive garden specimen. The wood is a mustard colour  extremely hard and dense. Mallee roots are valued firewood  burning very slowly while giving excellent heat. It is an oil-producing species.,yes,yes,yes,No,No,yes,yes,yes,No,yes,yes,yes,Temperate  hot/arid  frost hardy,Very drought tolerant,Full sun,Tolerates well-drained sand to waterlogged heavy clay.
33,Gazania linearis,Gazania,Herb,0.3m,1m,Red  Yellow  Orange  Golden  Cream,Winter  Early Summer,Bees,Gazania is a perennial daisy with a tuft of basal leaves. The leaves vary from narrowly elliptic and entire to deeply lobed  5-10 cm long x 3-20 mm wide  dark green on the upper surface and white-hairy on the lower surface. The colourful flower heads vary from yellow to orange or red and are 5-9 cm across. The outer florets have a spreading petal-like blades 3-4 cm long  while the yellow inner florets are tiny and tubular in shape. The fruits are tiny and are topped by narrow scales and hairs.,A much used landscaping species  being drought  pollution and salttolerant. Popular on steep banks  requiring minimal maintenance. Should not be planted near bush edges or remnant vegetation. Not suitable as a cut flower: the flowers close.,yes,yes,yes,yes,yes,yes,yes,No,yes,yes,yes,yes,Cool  temperate  hot/arid,Very drought tolerant,Full sun,Well-drained  various
